"raw","day","dd.mm","home.team","away.team","home.score","away.score"
"  San Jose Earthquakes    0-0  FC Dallas","Sun","07.06","San Jose Earthquakes","FC Dallas",0,0
"  New York City FC        3-1  Montreal Impact","Sat","13.06","New York City FC","Montreal Impact",3,1
"  Columbus Crew SC        1-1  LA Galaxy","Sat","13.06","Columbus Crew SC","LA Galaxy",1,1
"  New England Revolution  2-0  Chicago Fire","Sat","13.06","New England Revolution","Chicago Fire",2,0
"  Seattle Sounders FC     3-0  FC Dallas","Sat","13.06","Seattle Sounders FC","FC Dallas",3,0
"  Orlando City SC         1-0  D.C. United ","Sun","14.06","Orlando City SC","D.C. United",1,0
"  Colorado Rapids         1-1  FC Dallas","Fri","19.06","Colorado Rapids","FC Dallas",1,1
"  Seattle Sounders FC     0-2  San Jose Earthquakes","Sat","20.06","Seattle Sounders FC","San Jose Earthquakes",0,2
"  New York Red Bulls      1-2  Vancouver Whitecaps FC","Sat","20.06","New York Red Bulls","Vancouver Whitecaps FC",1,2
"  Toronto FC              0-2  New York City FC","Sat","20.06","Toronto FC","New York City FC",0,2
"  Montreal Impact         2-0  Orlando City SC","Sat","20.06","Montreal Impact","Orlando City SC",2,0
"  Portland Timbers        2-0  Houston Dynamo","Sat","20.06","Portland Timbers","Houston Dynamo",2,0
"  LA Galaxy               5-1  Philadelphia Union","Sat","20.06","LA Galaxy","Philadelphia Union",5,1
"  D.C. United             2-1  New England Revolution","Sun","21.06","D.C. United","New England Revolution",2,1
"  Real Salt Lake          2-1  Sporting Kansas City","Sun","21.06","Real Salt Lake","Sporting Kansas City",2,1
"  Philadelphia Union      1-0  Seattle Sounders FC","Wed","24.06","Philadelphia Union","Seattle Sounders FC",1,0
"  Orlando City SC         2-0  Colorado Rapids","Wed","24.06","Orlando City SC","Colorado Rapids",2,0
"  Columbus Crew SC        2-1  New England Revolution","Wed","24.06","Columbus Crew SC","New England Revolution",2,1
"  New York Red Bulls      1-0  Real Salt Lake","Wed","24.06","New York Red Bulls","Real Salt Lake",1,0
"  Toronto FC              3-1  Montreal Impact","Wed","24.06","Toronto FC","Montreal Impact",3,1
"  Chicago Fire            0-1  D.C. United ","Wed","24.06","Chicago Fire","D.C. United",0,1
"  LA Galaxy               5-0  Portland Timbers","Wed","24.06","LA Galaxy","Portland Timbers",5,0
"  FC Dallas               2-0  Houston Dynamo","Fri","26.06","FC Dallas","Houston Dynamo",2,0
"  Toronto FC              0-0  D.C. United ","Sat","27.06","Toronto FC","D.C. United",0,0
"  Philadelphia Union      2-2  Montreal Impact","Sat","27.06","Philadelphia Union","Montreal Impact",2,2
"  New England Revolution  1-2  Vancouver Whitecaps FC","Sat","27.06","New England Revolution","Vancouver Whitecaps FC",1,2
"  Sporting Kansas City    2-0  Colorado Rapids","Sat","27.06","Sporting Kansas City","Colorado Rapids",2,0
"  Real Salt Lake          2-2  Columbus Crew SC","Sat","27.06","Real Salt Lake","Columbus Crew SC",2,2
"  San Jose Earthquakes    3-1  LA Galaxy","Sat","27.06","San Jose Earthquakes","LA Galaxy",3,1
"  New York City FC        1-3  New York Red Bulls","Sun","28.06","New York City FC","New York Red Bulls",1,3
"  Portland Timbers        4-1  Seattle Sounders FC","Sun","28.06","Portland Timbers","Seattle Sounders FC",4,1
"  Houston Dynamo          1-1  Chicago Fire","Fri","03.07","Houston Dynamo","Chicago Fire",1,1
"  Seattle Sounders FC     1-0  D.C. United ","Fri","03.07","Seattle Sounders FC","D.C. United",1,0
"  Columbus Crew SC        2-1  New York Red Bulls","Sat","04.07","Columbus Crew SC","New York Red Bulls",2,1
"  Montreal Impact         1-2  New York City FC","Sat","04.07","Montreal Impact","New York City FC",1,2
"  FC Dallas               3-0  New England Revolution","Sat","04.07","FC Dallas","New England Revolution",3,0
"  Colorado Rapids         2-1  Vancouver Whitecaps FC","Sat","04.07","Colorado Rapids","Vancouver Whitecaps FC",2,1
"  Real Salt Lake          1-1  Orlando City SC","Sat","04.07","Real Salt Lake","Orlando City SC",1,1
"  LA Galaxy               4-0  Toronto FC","Sat","04.07","LA Galaxy","Toronto FC",4,0
"  Portland Timbers        1-0  San Jose Earthquakes","Sun","05.07","Portland Timbers","San Jose Earthquakes",1,0
"  San Jose Earthquakes    0-2  Houston Dynamo","Fri","10.07","San Jose Earthquakes","Houston Dynamo",0,2
"  New York Red Bulls      4-1  New England Revolution","Sat","11.07","New York Red Bulls","New England Revolution",4,1
"  Philadelphia Union      3-0  Portland Timbers","Sat","11.07","Philadelphia Union","Portland Timbers",3,0
"  Orlando City SC         0-2  FC Dallas","Sat","11.07","Orlando City SC","FC Dallas",0,2
"  Montreal Impact         3-0  Columbus Crew SC","Sat","11.07","Montreal Impact","Columbus Crew SC",3,0
"  Chicago Fire            1-0  Seattle Sounders FC","Sat","11.07","Chicago Fire","Seattle Sounders FC",1,0
"  Colorado Rapids         3-1  Real Salt Lake","Sat","11.07","Colorado Rapids","Real Salt Lake",3,1
"  New York City FC        4-4  Toronto FC","Sun","12.07","New York City FC","Toronto FC",4,4
"  Vancouver Whitecaps FC  0-1  Sporting Kansas City","Sun","12.07","Vancouver Whitecaps FC","Sporting Kansas City",0,1
"  Chicago Fire            0-1  Columbus Crew SC","Wed","15.07","Chicago Fire","Columbus Crew SC",0,1
"  LA Galaxy               5-2  San Jose Earthquakes","Fri","17.07","LA Galaxy","San Jose Earthquakes",5,2
"  Toronto FC              2-1  Philadelphia Union","Sat","18.07","Toronto FC","Philadelphia Union",2,1
"  Orlando City SC         0-2  New York Red Bulls","Sat","18.07","Orlando City SC","New York Red Bulls",0,2
"  New England Revolution  1-0  New York City FC","Sat","18.07","New England Revolution","New York City FC",1,0
"  Sporting Kansas City    2-1  Montreal Impact","Sat","18.07","Sporting Kansas City","Montreal Impact",2,1
"  FC Dallas               2-1  D.C. United ","Sat","18.07","FC Dallas","D.C. United",2,1
"  Seattle Sounders FC     0-1  Colorado Rapids","Sat","18.07","Seattle Sounders FC","Colorado Rapids",0,1
"  Real Salt Lake          2-0  Houston Dynamo","Sat","18.07","Real Salt Lake","Houston Dynamo",2,0
"  Portland Timbers        1-1  Vancouver Whitecaps FC","Sat","18.07","Portland Timbers","Vancouver Whitecaps FC",1,1
"  Columbus Crew SC        3-1  Chicago Fire","Sun","19.07","Columbus Crew SC","Chicago Fire",3,1
"  Real Salt Lake          2-1  Sporting Kansas City","Fri","24.07","Real Salt Lake","Sporting Kansas City",2,1
"  Columbus Crew SC        3-3  Toronto FC","Sat","25.07","Columbus Crew SC","Toronto FC",3,3
"  Montreal Impact         1-0  Seattle Sounders FC","Sat","25.07","Montreal Impact","Seattle Sounders FC",1,0
"  Chicago Fire            2-2  New England Revolution","Sat","25.07","Chicago Fire","New England Revolution",2,2
"  Houston Dynamo          3-0  LA Galaxy","Sat","25.07","Houston Dynamo","LA Galaxy",3,0
"  FC Dallas               4-1  Portland Timbers","Sat","25.07","FC Dallas","Portland Timbers",4,1
"  New York City FC        5-3  Orlando City SC","Sun","26.07","New York City FC","Orlando City SC",5,3
"  D.C. United             3-2  Philadelphia Union","Sun","26.07","D.C. United","Philadelphia Union",3,2
"  Vancouver Whitecaps FC  3-1  San Jose Earthquakes","Sun","26.07","Vancouver Whitecaps FC","San Jose Earthquakes",3,1
"  New York City FC        2-3  Montreal Impact","Sat","01.08","New York City FC","Montreal Impact",2,3
"  Philadelphia Union      1-3  New York Red Bulls","Sat","01.08","Philadelphia Union","New York Red Bulls",1,3
"  D.C. United             6-4  Real Salt Lake","Sat","01.08","D.C. United","Real Salt Lake",6,4
